_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,waived,within_cap
2214109X,Lancet Glob Health,Elsevier,6680.0,1,6680.0,False,False
23524650,Lancet Child Adolesc Health,Elsevier,6680.0,1,6680.0,False,False
25425196,Lancet Planet Health,Elsevier,6680.0,1,6680.0,False,False
20411723,Nat Commun,Springer Nature,6990.0,56,391440.0,False,False
15388514,Mol Cancer Ther,American Association for Cancer Research (AACR),7000.0,2,14000.0,False,False
15573125,Mol Cancer Res,American Association for Cancer Research (AACR),7000.0,2,14000.0,False,False
18790445,Curr Biol,Elsevier,7030.0,4,28120.0,False,False
01689525,Trends Genet,Elsevier,7030.0,2,14060.0,False,False
1879307X,Trends Cogn Sci,Elsevier,7030.0,2,14060.0,False,False
1471499X,Trends Mol Med,Elsevier,7030.0,1,7030.0,False,False
14715007,Trends Parasitol,Elsevier,7030.0,1,7030.0,False,False
1878108X,Trends Neurosci,Elsevier,7030.0,1,7030.0,False,False
24058025,Trends Cancer,Elsevier,7030.0,1,7030.0,False,False
15583597,J Am Coll Cardiol,Elsevier,7166.0,6,42996.0,False,False
14744465,Lancet Neurol,Elsevier,7280.0,2,14560.0,False,False
1474547X,Lancet,Elsevier,7890.0,5,39450.0,False,False
14602075,EMBO J,Springer Nature,7990.0,1,7990.0,False,False
17444292,Mol Syst Biol,Springer Nature,7990.0,1,7990.0,False,False
15573265,Clin Cancer Res,American Association for Cancer Research (AACR),8000.0,12,96000.0,False,False
15387445,Cancer Res,American Association for Cancer Research (AACR),8000.0,5,40000.0,False,False
24519448,Cell Chem Biol,Elsevier,9350.0,2,18700.0,False,False
18784186,Structure,Elsevier,9350.0,1,9350.0,False,False
24054720,Cell Syst,Elsevier,9350.0,1,9350.0,False,False
10974199,Neuron,Elsevier,10400.0,7,72800.0,False,False
10974164,Mol Cell,Elsevier,10400.0,4,41600.0,False,False
19327420,Cell Metab,Elsevier,10400.0,4,41600.0,False,False
10974180,Immunity,Elsevier,10400.0,2,20800.0,False,False
19346069,Cell Host Microbe,Elsevier,10400.0,1,10400.0,False,False
21598290,Cancer Discov,American Association for Cancer Research (AACR),11000.0,5,55000.0,False,False
10974172,Cell,Elsevier,11400.0,2,22800.0,False,False
14764687,Nature,Springer Nature,12690.0,12,152280.0,False,False
15461718,Nat Genet,Springer Nature,12690.0,8,101520.0,False,False
1546170X,Nat Med,Springer Nature,12690.0,7,88830.0,False,False
15461726,Nat Neurosci,Springer Nature,12690.0,5,63450.0,False,False
15292916,Nat Immunol,Springer Nature,12690.0,4,50760.0,False,False
15524469,Nat Chem Biol,Springer Nature,12690.0,4,50760.0,False,False
15487105,Nat Methods,Springer Nature,12690.0,2,25380.0,False,False
20585276,Nat Microbiol,Springer Nature,12690.0,2,25380.0,False,False
25225812,Nat Metab,Springer Nature,12690.0,2,25380.0,False,False
15459985,Nat Struct Mol Biol,Springer Nature,12690.0,1,12690.0,False,False
17483395,Nat Nanotechnol,Springer Nature,12690.0,1,12690.0,False,False
2157846X,Nat Biomed Eng,Springer Nature,12690.0,1,12690.0,False,False
2397334X,Nat Ecol Evol,Springer Nature,12690.0,1,12690.0,False,False
26628465,Nat Aging,Springer Nature,12690.0,1,12690.0,False,False
27310590,Nat Cardiovasc Res,Springer Nature,12690.0,1,12690.0,False,False
